Base Case
RunNumber, numStaffA, numStaffB, dispMeth: numBasicSrv, numBasicLW, BasicSL; numPremiumSrv, numPremiumLW, PremiumSL; numType1and2Srv, numType1and2LW, Type1and2SL; numType3and4Srv, numType3and4LW, Type3and4SL; OverallSL; overtmStaffA, overtmStaffB; CostEstimate
29, 9, 9, EQUAL_PRIORITY: 1664, 1664, 0.0; 3665, 3665, 0.0; 3669, 3669, 0.0; 1660, 1660, 0.0; 0.0; 4180.815315939384, 21395.24131105392; 6013.848864266449
30, 9, 9, EQUAL_PRIORITY: 1682, 1682, 0.0; 3671, 3671, 0.0; 3683, 3683, 0.0; 1670, 1670, 0.0; 0.0; 4456.38269722744, 20993.401812391385; 6008.3068002595
1, 9, 10, EQUAL_PRIORITY: 1721, 1721, 0.0; 3816, 3816, 0.0; 3662, 3662, 0.0; 1875, 1875, 0.0; 0.0; 4377.657882965315, 24098.210498462096; 6451.860556782169
2, 9, 10, EQUAL_PRIORITY: 1669, 1669, 0.0; 3862, 3862, 0.0; 3661, 3661, 0.0; 1870, 1870, 0.0; 0.0; 4495.30833397586, 24894.361171293218; 6473.1112051823775
3, 9, 10, EQUAL_PRIORITY: 1676, 1676, 0.0; 3839, 3839, 0.0; 3668, 3668, 0.0; 1847, 1847, 0.0; 0.0; 4168.735295596925, 22231.463720047715; 6403.069720361593
4, 9, 10, EQUAL_PRIORITY: 1705, 1705, 0.0; 3809, 3809, 0.0; 3691, 3691, 0.0; 1823, 1823, 0.0; 0.0; 4160.347374103687, 19333.30321949495; 6332.210990313089
5, 9, 10, EQUAL_PRIORITY: 1730, 1730, 0.0; 3803, 3803, 0.0; 3673, 3673, 0.0; 1860, 1860, 0.0; 0.0; 3806.7318870990857, 22670.0324151261; 6408.170451240921
6, 9, 10, EQUAL_PRIORITY: 1702, 1702, 0.0; 3831, 3831, 0.0; 3669, 3669, 0.0; 1864, 1864, 0.0; 0.0; 5487.707254532259, 21708.392538147382; 6410.71695397731
7, 9, 10, EQUAL_PRIORITY: 1668, 1668, 0.0; 3854, 3854, 0.0; 3659, 3659, 0.0; 1863, 1863, 0.0; 0.0; 3810.949677407014, 22537.86870614467; 6405.010302716973
8, 9, 10, EQUAL_PRIORITY: 1704, 1704, 0.0; 3848, 3848, 0.0; 3677, 3677, 0.0; 1875, 1875, 0.0; 0.0; 4085.5691748754034, 21799.249846781895; 6391.234548967153
9, 9, 10, EQUAL_PRIORITY: 1670, 1670, 0.0; 3850, 3850, 0.0; 3650, 3650, 0.0; 1870, 1870, 0.0; 0.0; 3827.1959838928888, 25069.622626004057; 6467.048585266299
10, 9, 10, EQUAL_PRIORITY: 1745, 1745, 0.0; 3818, 3818, 0.0; 3700, 3700, 0.0; 1863, 1863, 0.0; 0.0; 4739.966336565951, 22647.823986882897; 6422.071373936258
11, 9, 10, EQUAL_PRIORITY: 1654, 1654, 0.0; 3869, 3869, 0.0; 3668, 3668, 0.0; 1855, 1855, 0.0; 0.0; 4133.466132701855, 21452.880439726563; 6383.522748499427
12, 9, 10, EQUAL_PRIORITY: 1684, 1684, 0.0; 3865, 3865, 0.0; 3683, 3683, 0.0; 1866, 1866, 0.0; 0.0; 3994.6824990990426, 22842.43245323682; 6415.286592594813
13, 9, 10, EQUAL_PRIORITY: 1657, 1657, 0.0; 3860, 3860, 0.0; 3653, 3653, 0.0; 1864, 1864, 0.0; 0.0; 3769.252897927261, 22340.177017107213; 6399.54037681399
14, 9, 10, EQUAL_PRIORITY: 1660, 1660, 0.0; 3848, 3848, 0.0; 3673, 3673, 0.0; 1835, 1835, 0.0; 0.0; 4132.023486258957, 21759.97634826186; 6390.995024358017
15, 9, 10, EQUAL_PRIORITY: 1677, 1677, 0.0; 3862, 3862, 0.0; 3663, 3663, 0.0; 1876, 1876, 0.0; 0.0; 4115.567880659641, 22883.197473726614; 6418.152298404728
16, 9, 10, EQUAL_PRIORITY: 1716, 1716, 0.0; 3804, 3804, 0.0; 3674, 3674, 0.0; 1846, 1846, 0.0; 0.0; 5929.52594350779, 19779.521334711375; 6370.480981699029
17, 9, 10, EQUAL_PRIORITY: 1710, 1710, 0.0; 3843, 3843, 0.0; 3678, 3678, 0.0; 1875, 1875, 0.0; 0.0; 3939.873135574133, 22396.0860720169; 6403.545375284298
18, 9, 10, EQUAL_PRIORITY: 1607, 1607, 0.0; 3895, 3895, 0.0; 3650, 3650, 0.0; 1852, 1852, 0.0; 0.0; 3724.4140855697915, 22112.74954921927; 6393.296129608812
19, 9, 10, EQUAL_PRIORITY: 1675, 1675, 0.0; 3859, 3859, 0.0; 3692, 3692, 0.0; 1842, 1842, 0.0; 0.0; 4676.753035573041, 20967.60310938343; 6380.087682386678
20, 9, 10, EQUAL_PRIORITY: 1761, 1761, 0.0; 3796, 3796, 0.0; 3700, 3700, 0.0; 1857, 1857, 0.0; 0.0; 4368.026224343092, 22090.957507885905; 6402.724964081097
21, 9, 10, EQUAL_PRIORITY: 1656, 1656, 0.0; 3894, 3894, 0.0; 3687, 3687, 0.0; 1863, 1863, 0.0; 0.0; 3897.01577938479, 24132.576041246866; 6445.26073092567
22, 9, 10, EQUAL_PRIORITY: 1682, 1682, 0.0; 3864, 3864, 0.0; 3683, 3683, 0.0; 1863, 1863, 0.0; 0.0; 4715.05743747986, 21618.91230735254; 6396.575534509482
23, 9, 10, EQUAL_PRIORITY: 1722, 1722, 0.0; 3775, 3775, 0.0; 3636, 3636, 0.0; 1861, 1861, 0.0; 0.0; 4033.9106538746273, 21636.456000176753; 6386.462126790469
24, 9, 10, EQUAL_PRIORITY: 1678, 1678, 0.0; 3841, 3841, 0.0; 3658, 3658, 0.0; 1861, 1861, 0.0; 0.0; 4609.9929788385925, 22876.814718624737; 6425.648345781796
25, 9, 10, EQUAL_PRIORITY: 1677, 1677, 0.0; 3866, 3866, 0.0; 3663, 3663, 0.0; 1880, 1880, 0.0; 0.0; 4088.8553118325362, 22588.93194126358; 6410.557409344912
26, 9, 10, EQUAL_PRIORITY: 1711, 1711, 0.0; 3833, 3833, 0.0; 3674, 3674, 0.0; 1870, 1870, 0.0; 0.0; 4168.492982387965, 23044.05366213931; 6422.897034339166
27, 9, 10, EQUAL_PRIORITY: 1675, 1675, 0.0; 3808, 3808, 0.0; 3644, 3644, 0.0; 1839, 1839, 0.0; 0.0; 3552.0713608631777, 21332.111673838634; 6371.577639291563
28, 9, 10, EQUAL_PRIORITY: 1736, 1736, 0.0; 3767, 3767, 0.0; 3633, 3633, 0.0; 1870, 1870, 0.0; 0.0; 5791.612424607229, 23996.666531238196; 6471.26503025033
29, 9, 10, EQUAL_PRIORITY: 1700, 1700, 0.0; 3822, 3822, 0.0; 3673, 3673, 0.0; 1849, 1849, 0.0; 0.0; 4323.127733241898, 22350.631105163106; 6408.367378795224
30, 9, 10, EQUAL_PRIORITY: 1712, 1712, 0.0; 3816, 3816, 0.0; 3676, 3676, 0.0; 1852, 1852, 0.0; 0.0; 3735.759309004483, 22415.868075615537; 6400.869245913305
1, 9, 11, EQUAL_PRIORITY: 1758, 1758, 0.0; 3971, 3971, 0.0; 3705, 3705, 0.0; 2024, 2024, 0.0; 0.0; 4427.661058585203, 24092.232144574155; 6821.488515149259
2, 9, 11, EQUAL_PRIORITY: 1729, 1729, 0.0; 4033, 4033, 0.0; 3782, 3782, 0.0; 1980, 1980, 0.0; 0.0; 4188.243029780584, 24320.334687805458; 6823.350024389476
3, 9, 11, EQUAL_PRIORITY: 1711, 1711, 0.0; 3966, 3966, 0.0; 3652, 3652, 0.0; 2025, 2025, 0.0; 0.0; 3732.5085791277816, 24221.159868019997; 6813.876653360799
4, 9, 11, EQUAL_PRIORITY: 1750, 1750, 0.0; 3986, 3986, 0.0; 3729, 3729, 0.0; 2007, 2007, 0.0; 0.0; 4292.8498055449745, 24607.82799738228; 6831.98514454574
5, 9, 11, EQUAL_PRIORITY: 1775, 1775, 0.0; 3999, 3999, 0.0; 3768, 3768, 0.0; 2006, 2006, 0.0; 0.0; 4721.692427323767, 24424.615004833613; 6834.150725183688
6, 9, 11, EQUAL_PRIORITY: 1755, 1755, 0.0; 3990, 3990, 0.0; 3703, 3703, 0.0; 2042, 2042, 0.0; 0.0; 4287.235971743052, 24507.90245775538; 6829.45960478172
7, 9, 11, EQUAL_PRIORITY: 1747, 1747, 0.0; 4025, 4025, 0.0; 3774, 3774, 0.0; 1998, 1998, 0.0; 0.0; 3718.569824761493, 23002.26231599273; 6783.914029999703
8, 9, 11, EQUAL_PRIORITY: 1745, 1745, 0.0; 4000, 4000, 0.0; 3686, 3686, 0.0; 2059, 2059, 0.0; 0.0; 3799.7705583574134, 23544.932111018497; 6798.41443516015
9, 9, 11, EQUAL_PRIORITY: 1716, 1716, 0.0; 4021, 4021, 0.0; 3688, 3688, 0.0; 2049, 2049, 0.0; 0.0; 6378.6066478561115, 25185.30517521911; 6878.357907754906
10, 9, 11, EQUAL_PRIORITY: 1774, 1774, 0.0; 3953, 3953, 0.0; 3722, 3722, 0.0; 2005, 2005, 0.0; 0.0; 3785.0767124574922, 23223.605156991223; 6790.345122595557
11, 9, 11, EQUAL_PRIORITY: 1705, 1705, 0.0; 4013, 4013, 0.0; 3676, 3676, 0.0; 2042, 2042, 0.0; 0.0; 4627.138560487918, 22336.05081022503; 6781.716479638043
12, 9, 11, EQUAL_PRIORITY: 1732, 1732, 0.0; 4043, 4043, 0.0; 3771, 3771, 0.0; 2004, 2004, 0.0; 0.0; 3905.261909050212, 24300.13629537342; 6818.477617705724
13, 9, 11, EQUAL_PRIORITY: 1725, 1725, 0.0; 4033, 4033, 0.0; 3740, 3740, 0.0; 2018, 2018, 0.0; 0.0; 4180.178066648921, 23674.578853390107; 6807.465692096349
14, 9, 11, EQUAL_PRIORITY: 1701, 1701, 0.0; 3997, 3997, 0.0; 3661, 3661, 0.0; 2037, 2037, 0.0; 0.0; 3924.269089740352, 24476.9076060995; 6823.0858382043625
15, 9, 11, EQUAL_PRIORITY: 1747, 1747, 0.0; 4001, 4001, 0.0; 3740, 3740, 0.0; 2008, 2008, 0.0; 0.0; 4347.5987981418, 23559.136462469294; 6807.239383162457
16, 9, 11, EQUAL_PRIORITY: 1748, 1748, 0.0; 3963, 3963, 0.0; 3680, 3680, 0.0; 2031, 2031, 0.0; 0.0; 4134.34057752564, 22978.28797005996; 6789.763489159598
17, 9, 11, EQUAL_PRIORITY: 1761, 1761, 0.0; 3986, 3986, 0.0; 3715, 3715, 0.0; 2032, 2032, 0.0; 0.0; 3752.0176269244257, 23473.05127111313; 6795.921166914091
18, 9, 11, EQUAL_PRIORITY: 1650, 1650, 0.0; 4063, 4063, 0.0; 3705, 3705, 0.0; 2008, 2008, 0.0; 0.0; 4175.371408853811, 22937.971889300432; 6789.41458576876
19, 9, 11, EQUAL_PRIORITY: 1691, 1691, 0.0; 4045, 4045, 0.0; 3696, 3696, 0.0; 2040, 2040, 0.0; 0.0; 3842.040565412768, 25095.850564200926; 6836.9184094243865
20, 9, 11, EQUAL_PRIORITY: 1797, 1797, 0.0; 3951, 3951, 0.0; 3691, 3691, 0.0; 2057, 2057, 0.0; 0.0; 3880.375213190113, 24928.885826278012; 6833.436949059727
21, 9, 11, EQUAL_PRIORITY: 1676, 1676, 0.0; 4048, 4048, 0.0; 3694, 3694, 0.0; 2030, 2030, 0.0; 0.0; 3966.3790909225645, 24061.41221839169; 6813.597474594075
22, 9, 11, EQUAL_PRIORITY: 1724, 1724, 0.0; 4044, 4044, 0.0; 3752, 3752, 0.0; 2016, 2016, 0.0; 0.0; 4008.6159094571194, 24679.440676998915; 6829.333977025501
23, 9, 11, EQUAL_PRIORITY: 1781, 1781, 0.0; 3923, 3923, 0.0; 3670, 3670, 0.0; 2034, 2034, 0.0; 0.0; 4156.186934870697, 24969.935780519503; 6838.707278159487
24, 9, 11, EQUAL_PRIORITY: 1700, 1700, 0.0; 4018, 4018, 0.0; 3714, 3714, 0.0; 2004, 2004, 0.0; 0.0; 4458.508945850423, 25014.000679436765; 6844.461464552987
25, 9, 11, EQUAL_PRIORITY: 1740, 1740, 0.0; 4010, 4010, 0.0; 3705, 3705, 0.0; 2045, 2045, 0.0; 0.0; 5661.534074704279, 24542.83342237484; 6851.580985868857
26, 9, 11, EQUAL_PRIORITY: 1765, 1765, 0.0; 3960, 3960, 0.0; 3714, 3714, 0.0; 2011, 2011, 0.0; 0.0; 3984.437626510844, 22507.321680814915; 6775.949742382556
27, 9, 11, EQUAL_PRIORITY: 1783, 1783, 0.0; 4038, 4038, 0.0; 3865, 3865, 0.0; 1956, 1956, 0.0; 0.0; 4206.776582735765, 24987.566156713438; 6839.9204783192745
28, 9, 11, EQUAL_PRIORITY: 1789, 1789, 0.0; 3940, 3940, 0.0; 3735, 3735, 0.0; 1994, 1994, 0.0; 0.0; 4058.325191049007, 23720.09424565437; 6806.690666094704
29, 9, 11, EQUAL_PRIORITY: 1742, 1742, 0.0; 3979, 3979, 0.0; 3717, 3717, 0.0; 2004, 2004, 0.0; 0.0; 4155.511128493585, 23604.665708315006; 6805.377728203422
30, 9, 11, EQUAL_PRIORITY: 1754, 1754, 0.0; 3987, 3987, 0.0; 3723, 3723, 0.0; 2018, 2018, 0.0; 0.0; 4511.734882592384, 24853.127237048597; 6841.359121229997
1, 9, 12, EQUAL_PRIORITY: 1820, 1820, 0.0; 4204, 4204, 0.0; 3906, 3906, 0.0; 2118, 2118, 0.0; 0.0; 4141.185060084332, 26711.95272793116; 7249.988615123435
2, 9, 12, EQUAL_PRIORITY: 1815, 1815, 0.0; 4250, 4250, 0.0; 3969, 3969, 0.0; 2096, 2096, 0.0; 0.0; 4110.931426887226, 28750.127540649584; 7299.261575158155
3, 9, 12, EQUAL_PRIORITY: 1778, 1778, 0.0; 4154, 4154, 0.0; 3782, 3782, 0.0; 2150, 2150, 0.0; 0.0; 3752.8955665345275, 26310.71864607444; 7234.187350725565
4, 9, 12, EQUAL_PRIORITY: 1815, 1815, 0.0; 4196, 4196, 0.0; 3903, 3903, 0.0; 2108, 2108, 0.0; 0.0; 4063.033779141333, 25259.945346452136; 7213.34323658465
5, 9, 12, EQUAL_PRIORITY: 1857, 1857, 0.0; 4196, 4196, 0.0; 3924, 3924, 0.0; 2129, 2129, 0.0; 0.0; 4503.741608900164, 26202.587636387456; 7243.1686755495775
6, 9, 12, EQUAL_PRIORITY: 1847, 1847, 0.0; 4201, 4201, 0.0; 3928, 3928, 0.0; 2120, 2120, 0.0; 0.0; 4036.808355295492, 27852.406967744188; 7276.205775544759
7, 9, 12, EQUAL_PRIORITY: 1823, 1823, 0.0; 4258, 4258, 0.0; 3947, 3947, 0.0; 2134, 2134, 0.0; 0.0; 4217.376895196925, 25510.539309043845; 7221.847566039237
8, 9, 12, EQUAL_PRIORITY: 1829, 1829, 0.0; 4205, 4205, 0.0; 3878, 3878, 0.0; 2156, 2156, 0.0; 0.0; 4011.316073481503, 25235.591572301782; 7211.948495461245
9, 9, 12, EQUAL_PRIORITY: 1808, 1808, 0.0; 4204, 4204, 0.0; 3905, 3905, 0.0; 2107, 2107, 0.0; 0.0; 4315.201242740499, 24570.835067950786; 7200.428256010259
10, 9, 12, EQUAL_PRIORITY: 1819, 1819, 0.0; 4176, 4176, 0.0; 3870, 3870, 0.0; 2125, 2125, 0.0; 0.0; 4214.436856768851, 25343.454268523157; 7217.724394812762
11, 9, 12, EQUAL_PRIORITY: 1809, 1809, 0.0; 4223, 4223, 0.0; 3898, 3898, 0.0; 2134, 2134, 0.0; 0.0; 4061.220165702849, 24691.805413232607; 7199.449848958816
12, 9, 12, EQUAL_PRIORITY: 1835, 1835, 0.0; 4234, 4234, 0.0; 3958, 3958, 0.0; 2111, 2111, 0.0; 0.0; 4031.7703158817603, 28958.82798773714; 7303.129747446517
13, 9, 12, EQUAL_PRIORITY: 1830, 1830, 0.0; 4228, 4228, 0.0; 3930, 3930, 0.0; 2128, 2128, 0.0; 0.0; 4359.895800347658, 26374.281452326497; 7245.132637115729
