Base Case
RunNumber, numStaffA, numStaffB, dispMeth: numBasicSrv, numBasicLW, BasicSL; numPremiumSrv, numPremiumLW, PremiumSL; numType1and2Srv, numType1and2LW, Type1and2SL; numType3and4Srv, numType3and4LW, Type3and4SL; OverallSL; overtmStaffA, overtmStaffB; CostEstimate
24, 9, 9, EQUAL_PRIORITY: 3291, 3121, 0.05165603160133703; 7363, 7325, 0.005160939834306655; 7308, 7130, 0.024356869184455343; 3346, 3316, 0.00896592946802155; 0.019523183780739584; 7919.916255355001, 40287.87320063621; 5979.893042817058
25, 9, 9, EQUAL_PRIORITY: 3264, 3118, 0.0447303921568627; 7435, 7401, 0.004572965702757226; 7365, 7213, 0.020638153428377493; 3334, 3306, 0.008398320335932796; 0.016824002243200353; 9204.225760946836, 38555.22543051143; 5968.688723939163
26, 9, 9, EQUAL_PRIORITY: 3313, 3150, 0.0492001207364926; 7367, 7314, 0.007194244604316502; 7331, 7144, 0.025508116218796895; 3349, 3320, 0.008659301283965415; 0.020224719101123556; 7911.116384708444, 37208.80550846788; 5942.2529916219055
27, 9, 9, EQUAL_PRIORITY: 3326, 3167, 0.04780517137702944; 7378, 7345, 0.004472756844673298; 7356, 7196, 0.02175095160413265; 3348, 3316, 0.009557945041816063; 0.017937219730941756; 7731.714024903131, 40334.16453221791; 5979.001580496552
28, 9, 9, EQUAL_PRIORITY: 3357, 3140, 0.06464104855525765; 7264, 7227, 0.005093612334801767; 7274, 7068, 0.02832004399230137; 3347, 3299, 0.014341201075590115; 0.02391488560399213; 8290.19422724895, 39912.19461381565; 5978.174115796105
29, 9, 9, EQUAL_PRIORITY: 3337, 3194, 0.0428528618519628; 7309, 7269, 0.005472704884389112; 7320, 7169, 0.020628415300546488; 3326, 3294, 0.009621166566446182; 0.017189554762352066; 8180.691672061652, 42206.23250321218; 6005.319498840864
30, 9, 9, EQUAL_PRIORITY: 3398, 3219, 0.05267804590935843; 7348, 7294, 0.00734893848666307; 7390, 7194, 0.02652232746955341; 3356, 3319, 0.01102502979737785; 0.02168248650660709; 8371.153196743497, 41292.8612639309; 5995.6480044453865
1, 9, 10, EQUAL_PRIORITY: 3420, 3188, 0.06783625730994147; 7652, 7558, 0.012284370099320485; 7324, 7047, 0.03782086291643916; 3748, 3699, 0.013073639274279625; 0.029443641618497107; 8727.310634352005, 46109.43224036606; 6426.177618556
2, 9, 10, EQUAL_PRIORITY: 3442, 3202, 0.06972690296339334; 7671, 7634, 0.004823360709164337; 7368, 7123, 0.03325190010857759; 3745, 3713, 0.008544726301735639; 0.024925762620354508; 8927.489256388655, 48615.83418344895; 6458.310691127236
3, 9, 10, EQUAL_PRIORITY: 3286, 3136, 0.045648204503956125; 7770, 7728, 0.00540540540540535; 7342, 7176, 0.02260964314900571; 3714, 3688, 0.007000538502961784; 0.01736613603473225; 8467.672878291272, 45006.78239297138; 6410.713563377202
4, 9, 10, EQUAL_PRIORITY: 3411, 3241, 0.049838756962767516; 7625, 7591, 0.004459016393442594; 7366, 7206, 0.021721422753190334; 3670, 3626, 0.011989100817438647; 0.01848495831823127; 8641.897246664574, 41334.564746287666; 6367.251929467581
5, 9, 10, EQUAL_PRIORITY: 3410, 3209, 0.0589442815249267; 7624, 7568, 0.007345225603357819; 7327, 7112, 0.02934352395250439; 3707, 3665, 0.011329916374426707; 0.023291644009425405; 8054.008612904282, 45692.32529303225; 6415.877845520784
6, 9, 10, EQUAL_PRIORITY: 3393, 3211, 0.05363984674329503; 7642, 7601, 0.00536508767338395; 7321, 7136, 0.02526977188908619; 3714, 3676, 0.010231556273559539; 0.02020842772995013; 9775.464270057768, 42885.644626658584; 6394.950446641222
7, 9, 10, EQUAL_PRIORITY: 3391, 3182, 0.06163373636095548; 7679, 7638, 0.0053392368798020895; 7358, 7148, 0.028540364229410198; 3712, 3672, 0.010775862068965525; 0.02258355916892507; 7879.752051109595, 43167.59763665275; 6383.721742985599
8, 9, 10, EQUAL_PRIORITY: 3388, 3165, 0.06582054309327035; 7728, 7614, 0.014751552795031042; 7369, 7102, 0.036232867417560044; 3747, 3677, 0.018681611956231636; 0.030316660669305495; 8223.405523363419, 44474.641480395854; 6402.330013185619
9, 9, 10, EQUAL_PRIORITY: 3268, 3090, 0.05446756425948596; 7782, 7713, 0.008866615265998412; 7322, 7125, 0.026905217153783134; 3728, 3678, 0.01341201716738194; 0.022352941176470575; 8117.577779154168, 46660.96660011415; 6428.189480018657
10, 9, 10, EQUAL_PRIORITY: 3467, 3273, 0.055956158061724826; 7636, 7598, 0.004976427448926124; 7411, 7223, 0.02536769666711647; 3692, 3648, 0.011917659804983716; 0.020895253535080593; 8694.463277837725, 43343.14765924339; 6392.168184301417
11, 9, 10, EQUAL_PRIORITY: 3365, 3213, 0.045170876671619564; 7674, 7621, 0.006906437320823522; 7347, 7184, 0.02218592622839255; 3692, 3650, 0.011375947995666325; 0.018570522692272884; 8403.363298815793, 42976.41232114985; 6385.44058063582
12, 9, 10, EQUAL_PRIORITY: 3345, 3153, 0.05739910313901342; 7716, 7677, 0.0050544323483669995; 7349, 7156, 0.026262076472989504; 3712, 3674, 0.010237068965517238; 0.020884187686465938; 7881.12235982464, 44850.49090017414; 6404.267651268625
13, 9, 10, EQUAL_PRIORITY: 3345, 3180, 0.04932735426008972; 7672, 7604, 0.008863399374348324; 7295, 7093, 0.027690198766278318; 3722, 3691, 0.008328855454056927; 0.021149133157846944; 7365.1180391303005, 45430.70867213547; 6407.3547989806375
14, 9, 10, EQUAL_PRIORITY: 3338, 3184, 0.04613541042540448; 7700, 7658, 0.00545454545454549; 7336, 7184, 0.02071973827699014; 3702, 3658, 0.01188546731496487; 0.017756840007247643; 8640.327008680164, 44813.86639724667; 6409.695543009761
15, 9, 10, EQUAL_PRIORITY: 3408, 3235, 0.05076291079812212; 7660, 7563, 0.012663185378590125; 7368, 7151, 0.029451682953311575; 3700, 3647, 0.014324324324324289; 0.024394651246837706; 8554.046622195827, 45552.324680164194; 6418.038846447566
16, 9, 10, EQUAL_PRIORITY: 3459, 3286, 0.05001445504481061; 7623, 7557, 0.008658008658008698; 7387, 7197, 0.025720860971977788; 3695, 3646, 0.013261163734776704; 0.021566504241111728; 9628.230826073495, 41741.10915567956; 6379.84508239904
17, 9, 10, EQUAL_PRIORITY: 3354, 3190, 0.04889683959451396; 7729, 7692, 0.004787165221891598; 7369, 7210, 0.021576876102591958; 3714, 3672, 0.011308562197092087; 0.018135883785978524; 8568.243161647388, 43923.62967421561; 6398.274743704069
18, 9, 10, EQUAL_PRIORITY: 3289, 3063, 0.06871389480085133; 7697, 7629, 0.008834610887358707; 7288, 7033, 0.03498902305159168; 3698, 3659, 0.010546241211465635; 0.026761332605133803; 7933.832875967716, 46319.68713564623; 6422.603222421623
19, 9, 10, EQUAL_PRIORITY: 3404, 3206, 0.05816686251468861; 7648, 7608, 0.005230125523012608; 7334, 7144, 0.025906735751295318; 3718, 3670, 0.012910166756320618; 0.021534563879840762; 8747.094230392457, 43010.8691677505; 6388.520858889278
20, 9, 10, EQUAL_PRIORITY: 3404, 3233, 0.05023501762632199; 7675, 7615, 0.007817589576547213; 7361, 7172, 0.025675859258252998; 3718, 3676, 0.011296395911780555; 0.02085025724343348; 8362.077124710095, 43789.86588337601; 6395.047174541928
21, 9, 10, EQUAL_PRIORITY: 3408, 3224, 0.0539906103286385; 7695, 7641, 0.007017543859649145; 7382, 7188, 0.026280140883229497; 3721, 3677, 0.011824778285407178; 0.021435648023056864; 8415.335755863489, 44923.44749086563; 6409.291689517245
22, 9, 10, EQUAL_PRIORITY: 3322, 3133, 0.0568934376881397; 7727, 7691, 0.004658987964281103; 7345, 7157, 0.025595643294758386; 3704, 3667, 0.009989200863930847; 0.02036383383111595; 8828.244789701383, 44332.59930670118; 6405.277064317555
23, 9, 10, EQUAL_PRIORITY: 3393, 3246, 0.043324491600353676; 7587, 7527, 0.007908264136022192; 7286, 7118, 0.023057919297282514; 3694, 3655, 0.010557661072008617; 0.01885245901639343; 8065.980173219092, 42404.37018050816; 6375.849601757301
